0,0,"","","6.1","+1"
65,2,"","","6.1*","+1"
35,52,"½ð³Ç´óÏÃ","","",""
75,0,"","","6.23","+04.01"
77,122,"","","6.23*","+04.01"
65,132,"","","7.1.2","1"
5,134,"","","7.1.2*","1"
43.5,113.7,"1","","1",""
26,116.5,"2","","4",""
42.5,102,"3","","2",""
21,103,"4","","4",""
27,89.5,"5","","2",""
44,91,"6","","4",""
62.8,81.1,"7","","1",""
11.2,81.1,"8","","1",""
65.9,63.2,"9","","1",""
49.4,63,"10","","1",""
24.5,62.8,"11","","1",""
8,63,"12","","1",""
55.7,45,"13","","1",""
11.1,45,"14","","1",""
45,31.5,"15","","1",""
28.3,35.4,"16","","1",""
50,27.3,"17","","1",""
24,27.2,"18","","1",""
45.4,15.7,"19","","1",""
28.7,15.7,"20","","1",""
-1,-1,"-1","-1","-1","-1"
