1,100,,,
,
1,1.2,370,粉质粘土
2,1.7,200,粉质粘土
3,1,100,粉质粘土
4,1.4,200,粉土
5,1,370,粉质粘土
6,1.8,370,粗砾砂
7,2.1,200,粘土
8,2,400,花岗岩
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2,30,,,
,
1,1,200,粉质粘土
2,1.6,370,粉质粘土
3,1.1,200,粉质粘土
4,1.9,370,粉土
5,.8,100,粉质粘土
6,1.6,370,粗砾砂
7,1.9,200,粘土
8,2.5,400,花岗岩
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
