114-9,3.92,3.92,3.93,8,203.8,1,0.6,20.1,,,3.95,3.95,3.96,8.05,195.8,2,.56,25.2,,,3.92,3.92,3.93,8.06,194.8,3,0.5,31.0,,,,,,,,,,,,,,,,,,,,,,
102-3,3.94,3.94,3.94,8.02,194.6,1,.54,32.8,,,3.99,3.99,3.94,8.04,194.2,2,.68,46.2,,,3.92,3.92,3.94,8.1,195.8,3,.94,50.8,,,,,,,,,,,,,,,,,,,,,,
114-8,3.98,3.97,3.97,8.07,202.7,1,.38,30.1,,,3.92,3.92,3.93,8.03,193.8,2,.44,48.0,,,3.92,3.92,3.92,8.06,198.5,3,.98,64.1,,,,,,,,,,,,,,,,,,,,,,
107-5,3.91,3.91,3.92,8.01,197.8,1,.56,28.1,,,3.92,3.92,3.93,8.04,199.3,2,.58,36.5,,,3.95,3.95,3.96,8.03,201.6,3,.96,41,,,,,,,,,,,,,,,,,,,,,,
109-6,3.92,3.92,3.93,8.04,204.1,1,.8,67.1,,,3.93,3.93,3.93,8.05,202.1,2,.5,73.3,,,3.92,3.92,3.93,8.02,204.2,3,.48,79.4,,,,,,,,,,,,,,,,,,,,,,
105-2,3.93,3.93,3.94,8.03,196.2,1,.8,45,,,3.94,3.94,3.95,8.04,200.6,2,.46,68.8,,,3.96,3.93,3.92,8.04,200.5,3,.76,91.2,,,,,,,,,,,,,,,,,,,,,,
109-4,3.92,3.92,3.93,8.06,200.4,1,.26,13.9,,,3.91,3.91,3.92,8,197.1,2,.38,28.2,,,3.93,3.93,3.94,8,198.7,3,.34,42.1,,,,,,,,,,,,,,,,,,,,,,
113-7,3.91,3.92,3.93,8.02,194.2,1,.56,78,,,3.94,3.94,3.91,8.06,203,2,.5,83.3,,,3.93,3.93,3.93,8.05,200.4,3.,.76,88.1,,,,,,,,,,,,,,,,,,,,,,
105-1,3.93,3.93,3.93,8,199.1,1,.5,24,,,3.97,3.95,3.95,8.02,198,2,.4,27,,,3.91,3.91,3.92,8.03,198,3,.34,30.1,,,,,,,,,,,,,,,,,,,,,,
113-2,3.93,3.93,3.94,8.04,195.4,1,.70,38.7,,,3.96,3.96,3.92,8.02,193.3,2,.66,46.1,,,3.91,3.91,3.92,8.02,192,3,.64,55,,,,,,,,,,,,,,,,,,,,,,
114-2,3.92,3.92,3.93,8.02,193.6,1,.8,28.2,,,3.94,3.93,3.93,8.02,197.4,2,.52,38.8,,,3.93,3.93,3.93,8.02,197.8,3,.66,39,,,,,,,,,,,,,,,,,,,,,,
109-2,3.94,3.93,3.92,8.02,197,1,.52,51.9,,,3.91,3.91,3.93,8.01,205.4,2,.72,72.2,,,3.92,3.93,3.94,8.03,205.4,3,1.02,91.5,,,,,,,,,,,,,,,,,,,,,,
101-2,3.92,3.92,3.92,8.04,199,1,.78,45.7,,,3.95,3.94,3.92,8.02,199.7,2,.88,50.8,,,3.91,3.92,3.92,8.01,197.7,3,.62,58.9,,,,,,,,,,,,,,,,,,,,,,
114-4,3.95,3.95,3.96,8.05,183.6,1,.38,31.6,,,3.96,3.94,3.92,8,181.6,2,.56,35.1,,,3.91,3.94,3.93,8.01,180.9,3,.28,39.5,,,,,,,,,,,,,,,,,,,,,,
102-4,3.92,3.93,3.95,8.03,196.8,1,.72,34.2,,,3.94,3.94,3.95,8.01,198.6,2,.84,42,,,3.97,3.96,3.93,8.04,198.5,3,.84,48,,,,,,,,,,,,,,,,,,,,,,
101-6,3.93,3.98,3.95,8.04,177.5,1,.60,23,,,3.95,3.94,3.94,8,191.3,2,.8,30,,,3.92,3.90,3.93,8.05,193,3,.72,37.4,,,,,,,,,,,,,,,,,,,,,,
101-4,3.92,3.93,3.93,8.02,204,1,.54,40,,,3.94,3.94,3.95,8.02,203,2,.96,49.1,,,3.95,3.94,3.82,8.02,200.2,3,.70,59,,,,,,,,,,,,,,,,,,,,,,
113-3,3.93,3.93,3.94,8.02,189.3,1,.38,25,,,3.93,3.98,3.94,8.07,180,2,.32,23,,,3.93,3.93,3.97,8.03,189,3,.32,44.8,,,,,,,,,,,,,,,,,,,,,,
107-2,3.93,3.93,3.92,8.01,196.3,1,.48,22.7,,,3.93,3.96,3.91,8.02,195.5,2,.28,24.5,,,3.94,3.94,3.94,8,197.5,3,.96,24.3,,,,,,,,,,,,,,,,,,,,,,
end, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
