1-1,7.57,不固结不排水剪UU
11.75,12.54,,,1.71
100,164,,3.90
3.91,3.92,8,500
14.7,,186.9
,,1.71
,,
200,164.5,,3.92
3.91,3.90,8.05,650
23.5,,336.2
,,1.70
,,
300,166,,3.91
3.90,3.92,8.1,850
35,,497.8
,,1.71
,,
,,,
,,,
,,
,,
,,
,,,
,,,
,,
,,
,,
1.5-1.7,粉质粘土,,
,
1-2,7.37,固结不排水剪CU
11.15,12.96,10.43,18.34,1.75
100,164.06,155.96,3.90
3.91,3.92,8,500
14.7,38,187.4
149.4,62.0,1.71
98,0.444,0.98
200,169.4,154.67,3.92
3.90,3.91,8,650
23.5,75,340.6
265.6,125.0,1.77
194,0.550,0.97
300,169.40,154.67,3.91
3.92,3.90,8,850
35,112,503.0
391.0,188.0,1.76
292,0.567,0.97
,,,
,,,
,,
,,
,,
,,,
,,,
,,
,,
,,
2.3~3.8,粉土,,
0.520,0.97
1-3,7.37,固结排水剪CD
,,19.47,14.09,1.74
100,164.06,155.96,3.90
3.91,3.92,8,500
15,15,206.7
206.7,100.0,1.71
,,
200,169.4,154.67,3.92
3.91,3.90,8,650
26,18,395.5
395.5,200.0,1.76
,,
300,169.4,154.67,3.91
3.92,3.90,8,800
30,22,533.8
533.8,300.0,1.76
,,
,,,
,,,
,,
,,
,,
,,,
,,,
,,
,,
,,
,,,
,
